,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
2148,mosquito,18,18_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['type of ant ', 'of an ant or bee to sting', 'a type of bee-like insect that is very small, its honey and offspring are edible']",animals activity -  -  -  -  -  -  -  -  - ,0.4765753857694226,False
2149,to eat grain-like objects by letting them roll into mouth from hand,34,34_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to open mouth', 'to bring up from throat or spit out of mouth as bad tasting medicine, seeds', 'mouth']",human activity -  -  -  -  -  -  -  -  - ,0.7581125280169877,False
2150,"to faint, be in coma ",40,40_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['very tired and weak from lack of food or sickness', 'to be very tired', 'tired ']",human activity -  -  -  -  -  -  -  -  - ,0.4503329959655729,False
2151,"nephew, niece ",10,10_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'child, children', 'child, children']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2152,"to hold, to contain ",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2153,"to fast, go without eating",46,46_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to get hungry for when seeing someone else eat', 'to eat ', 'to eat slowly, eat a little']",human activity -  -  -  -  -  -  -  -  - ,0.3859739789733839,False
2154,part of digestive system of cow or carabao,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2155,"daughter-in-law, vocative for daughter",10,10_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'child, children', 'child, children']",human activity -  -  -  -  -  -  -  -  - ,0.575610884188589,False
2156,"rice that is nearly ripe that is picked, roasted, pounded and eaten",3,3_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['cooked rice', 'cooked rice', 'type of rice']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2157,to suck ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2158,moustache,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.9102094501371666,False
2159,the smallest gong of the chêng set of gongs ,89,89_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['large gongs', 'small gongs', 'set of small and large gongs']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2160,"to submerge oneself in, dive in water ",2,2_water___,"['water', '', '', '', '', '', '', '', '', '']","['running water from rain', 'deep water in river or in sea ', 'water']",water -  -  -  -  -  -  -  -  - ,0.7515717813012996,False
2161,one (used when counting in a series without classifiers),95,95_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['classifier for paper money', 'classifier for plants, trees', 'classifier for people ']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2162,"to not be able to eat thing because dish is dirty, feel nauseated",46,46_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to get hungry for when seeing someone else eat', 'to eat ', 'to eat slowly, eat a little']",human activity -  -  -  -  -  -  -  -  - ,0.1393552637187607,False
2163,to be dirty,54,54_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['wash, wipe with water', 'clean ', 'to fade, wash out, become clean ']",human activity -  -  -  -  -  -  -  -  - ,0.7272613182264929,False
2164,cooked rice,3,3_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['cooked rice', 'cooked rice', 'type of rice']",human activity -  -  -  -  -  -  -  -  - ,1.0,True
2165,to be irritated as when hearing a grating noise,1,1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",human activity -  -  -  -  -  -  -  -  - ,0.8666869558414549,False
2166,to invite contracted form of ten watermelon mean easily,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2167,lizard like iguana,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2168,afraid to look at,30,30_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to be afraid continually, person who is always afraid ', 'to not be afraid ', 'to be afraid']",human activity -  -  -  -  -  -  -  -  - ,0.7194358003137117,False
2169,many people doing different things,49,49_together_meet_gather_discuss,"['together', 'meet', 'gather', 'discuss', 'sleeping', 'different', 'things', 'doing', 'reciprocal', 'company']","['together', 'to meet together, to gather things', 'to meet together']",together - meet - gather - discuss - sleeping - different - things - doing - reciprocal - company,0.3118744900926306,False
2170,spring where you can see water coming out,2,2_water___,"['water', '', '', '', '', '', '', '', '', '']","['running water from rain', 'deep water in river or in sea ', 'water']",water -  -  -  -  -  -  -  -  - ,1.0,False
2171,of rice to be almost gone,3,3_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['cooked rice', 'cooked rice', 'type of rice']",human activity -  -  -  -  -  -  -  -  - ,0.6077379941373212,False
2172,"shy, bashful, ashamed",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2173,"to describe drunken people talking, not being able to talk straight",5,5_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['quickly, fast', 'to go quickly', 'fast, quickly ']",human activity -  -  -  -  -  -  -  -  - ,0.5538428297046453,False
2174,"emphatic, pluralized form of mơlueng",71,71_language___,"['language', '', '', '', '', '', '', '', '', '']","['emphatic form pơpỡ', 'emphatic form of hlǐch', 'emphatic form of tŏ']",language -  -  -  -  -  -  -  -  - ,0.13238781712194075,False
2175,elder sister,10,10_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'child, children', 'child, children']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
2176,to be concerned about,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2177,to be angry,15,15_language___,"['language', '', '', '', '', '', '', '', '', '']","['to be angry ', 'to be angry', 'to make sad, angry ']",language -  -  -  -  -  -  -  -  - ,0.9783912465491751,True
2178,to crawl,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
2179,to describe big stomach from one eating a lot; to describe rounded front of car,72,72_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to designate person with big stomach', 'bloated stomach of large animals ', 'to make stomach bloated ']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
2180,"to grumble, complain, mumble",53,53_language___,"['language', '', '', '', '', '', '', '', '', '']","['to praise ', 'to praise', 'to praise, be amazed at']",language -  -  -  -  -  -  -  -  - ,0.8974255011392135,False
2181,"to worry, be concerned about",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
